

Transport -> Transport ( frequency = 6  performance = 4.333 )
Welding -> Welding ( frequency = 4  performance = 18.540 )
Painting -> Painting ( frequency = 3  performance = 20.435 )
Welding -> Transport ( frequency = 1  performance = 0.000 )
Transport -> Welding ( frequency = 1  performance = 0.000 )
Transport -> Painting ( frequency = 1  performance = 0.000 )
Painting -> Transport ( frequency = 1  performance = 0.000 )
Arrival -> Transport ( frequency = 1  performance = 0.000 )
Arrival -> Arrival ( frequency = 1  performance = 0.000 )


