

Transport -> Transport ( frequency = 18  performance = 26.942 )
Welding -> Welding ( frequency = 6  performance = 37.780 )
Painting -> Painting ( frequency = 6  performance = 24.553 )
Drilling -> Drilling ( frequency = 3  performance = 47.723 )
Welding -> Transport ( frequency = 2  performance = 0.000 )
Transport -> Welding ( frequency = 2  performance = 0.000 )
Transport -> Painting ( frequency = 2  performance = 0.000 )
Arrival -> Transport ( frequency = 2  performance = 0.000 )
Arrival -> Arrival ( frequency = 2  performance = 0.000 )
Transport -> Drilling ( frequency = 1  performance = 0.000 )
Transport -> Drain ( frequency = 1  performance = 0.000 )
Painting -> Transport ( frequency = 1  performance = 0.000 )
Drilling -> Transport ( frequency = 1  performance = 0.000 )
Drain -> Drain ( frequency = 1  performance = 0.000 )


