

Transport -> Transport ( frequency = 35  performance = 15.387 )
Welding -> Welding ( frequency = 11  performance = 51.285 )
Painting -> Painting ( frequency = 9  performance = 60.695 )
Drilling -> Drilling ( frequency = 9  performance = 24.515 )
Arrival -> Transport ( frequency = 4  performance = 0.000 )
Arrival -> Arrival ( frequency = 4  performance = 0.000 )
Welding -> Transport ( frequency = 3  performance = 0.000 )
Transport -> Welding ( frequency = 3  performance = 0.000 )
Transport -> Painting ( frequency = 3  performance = 0.000 )
Transport -> Drilling ( frequency = 3  performance = 0.000 )
Transport -> Drain ( frequency = 3  performance = 0.000 )
Painting -> Transport ( frequency = 3  performance = 0.000 )
Drilling -> Transport ( frequency = 3  performance = 0.000 )
Drain -> Drain ( frequency = 3  performance = 0.000 )


