

Transport -> Transport ( frequency = 372  performance = 40.476 )
Welding -> Welding ( frequency = 97  performance = 117.734 )
Painting -> Painting ( frequency = 93  performance = 50.855 )
Drilling -> Drilling ( frequency = 93  performance = 34.153 )
Transport -> Welding ( frequency = 32  performance = 0.000 )
Arrival -> Transport ( frequency = 32  performance = 0.000 )
Arrival -> Arrival ( frequency = 32  performance = 0.000 )
Welding -> Transport ( frequency = 31  performance = 0.000 )
Transport -> Painting ( frequency = 31  performance = 0.000 )
Transport -> Drilling ( frequency = 31  performance = 0.000 )
Transport -> Drain ( frequency = 31  performance = 0.000 )
Painting -> Transport ( frequency = 31  performance = 0.000 )
Drilling -> Transport ( frequency = 31  performance = 0.000 )
Drain -> Drain ( frequency = 31  performance = 0.000 )


