

Transport -> Transport ( frequency = 3750  performance = 1056.777 )
Welding -> Welding ( frequency = 939  performance = 44.123 )
Painting -> Painting ( frequency = 937  performance = 40.125 )
Drilling -> Drilling ( frequency = 936  performance = 28.781 )
Welding -> Transport ( frequency = 313  performance = 0.000 )
Transport -> Welding ( frequency = 313  performance = 0.000 )
Transport -> Painting ( frequency = 313  performance = 0.000 )
Arrival -> Transport ( frequency = 313  performance = 0.000 )
Arrival -> Arrival ( frequency = 313  performance = 0.000 )
Transport -> Drilling ( frequency = 312  performance = 0.000 )
Transport -> Drain ( frequency = 312  performance = 0.000 )
Painting -> Transport ( frequency = 312  performance = 0.000 )
Drilling -> Transport ( frequency = 312  performance = 0.000 )
Drain -> Drain ( frequency = 312  performance = 0.000 )


