

Transport -> Transport ( frequency = 17  performance = 20.785 )
Welding -> Welding ( frequency = 6  performance = 34.526 )
Painting -> Painting ( frequency = 6  performance = 21.252 )
Drilling -> Drilling ( frequency = 4  performance = 16.046 )
Welding -> Transport ( frequency = 2  performance = 0.000 )
Transport -> Welding ( frequency = 2  performance = 0.000 )
Transport -> Painting ( frequency = 2  performance = 0.000 )
Arrival -> Transport ( frequency = 2  performance = 0.000 )
Arrival -> Arrival ( frequency = 2  performance = 0.000 )
Transport -> Drilling ( frequency = 1  performance = 0.000 )
Transport -> Drain ( frequency = 1  performance = 0.000 )
Painting -> Transport ( frequency = 1  performance = 0.000 )
Drilling -> Transport ( frequency = 1  performance = 0.000 )
Drain -> Drain ( frequency = 1  performance = 0.000 )


