

Transport -> Transport ( frequency = 7  performance = 30.666 )
Welding -> Welding ( frequency = 3  performance = 24.719 )
Painting -> Painting ( frequency = 3  performance = 20.435 )
Welding -> Transport ( frequency = 1  performance = 0.000 )
Transport -> Welding ( frequency = 1  performance = 0.000 )
Transport -> Painting ( frequency = 1  performance = 0.000 )
Painting -> Transport ( frequency = 1  performance = 0.000 )
Arrival -> Transport ( frequency = 1  performance = 0.000 )
Arrival -> Arrival ( frequency = 1  performance = 0.000 )


