

Transport -> Transport ( frequency = 3746  performance = 274.428 )
Welding -> Welding ( frequency = 941  performance = 97.000 )
Painting -> Painting ( frequency = 938  performance = 62.225 )
Drilling -> Drilling ( frequency = 937  performance = 30.183 )
Welding -> Transport ( frequency = 313  performance = 0.000 )
Transport -> Welding ( frequency = 313  performance = 0.000 )
Transport -> Painting ( frequency = 313  performance = 0.000 )
Arrival -> Transport ( frequency = 313  performance = 0.000 )
Arrival -> Arrival ( frequency = 313  performance = 0.000 )
Transport -> Drilling ( frequency = 312  performance = 0.000 )
Transport -> Drain ( frequency = 312  performance = 0.000 )
Painting -> Transport ( frequency = 312  performance = 0.000 )
Drilling -> Transport ( frequency = 312  performance = 0.000 )
Drain -> Drain ( frequency = 312  performance = 0.000 )


