

Transport -> Transport ( frequency = 13091  performance = 955.430 )
Welding -> Welding ( frequency = 3039  performance = 43.890 )
Painting -> Painting ( frequency = 3039  performance = 41.251 )
Drilling -> Drilling ( frequency = 2019  performance = 27.414 )
Sawing -> Sawing ( frequency = 1957  performance = 30.031 )
Welding -> Transport ( frequency = 1013  performance = 0.000 )
Transport -> Welding ( frequency = 1013  performance = 0.000 )
Transport -> Painting ( frequency = 1013  performance = 0.000 )
Transport -> Drain ( frequency = 1013  performance = 0.000 )
Painting -> Transport ( frequency = 1013  performance = 0.000 )
Drain -> Drain ( frequency = 1013  performance = 0.000 )
Arrival -> Transport ( frequency = 1013  performance = 0.000 )
Arrival -> Arrival ( frequency = 1013  performance = 0.000 )
Transport -> Drilling ( frequency = 673  performance = 0.000 )
Drilling -> Transport ( frequency = 673  performance = 0.000 )
Transport -> Sawing ( frequency = 652  performance = 0.000 )
Sawing -> Transport ( frequency = 652  performance = 0.000 )


